2019/1/14 星期一 14:40:52	正在初始化...已完成
2019/1/14 星期一 16:01:14	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 16:01:14	[任务5]快速出票安全期,等待2414ms

2019/1/14 星期一 16:01:16	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/14 星期一 16:01:16	[返回无票]该数据为缓存,将G826车次放入小黑屋60秒...

2019/1/14 星期一 16:01:16	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:02:29	开始预订G826次列车车票...

2019/1/14 星期一 16:02:29	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:02:29	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:02:31	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:02:31	[返回无票]该数据为缓存,将G826车次放入小黑屋60秒...

2019/1/14 星期一 16:02:31	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:02:43	开始预订Z230次列车车票...

2019/1/14 星期一 16:02:43	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:02:43	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:02:44	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:02:44	[返回无票]该数据为缓存,将Z230车次放入小黑屋60秒...

2019/1/14 星期一 16:02:44	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:03:04	开始预订G1022次列车车票...

2019/1/14 星期一 16:03:04	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:03:04	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:03:06	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:03:06	[返回无票]该数据为缓存,将G1022车次放入小黑屋120秒...

2019/1/14 星期一 16:03:06	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:03:12	开始预订G1028次列车车票...

2019/1/14 星期一 16:03:12	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:03:12	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:03:14	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:03:14	[返回无票]该数据为缓存,将G1028车次放入小黑屋240秒...

2019/1/14 星期一 16:03:14	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:03:47	开始预订G826次列车车票...

2019/1/14 星期一 16:03:47	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:03:47	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:03:49	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:03:49	[返回无票]该数据为缓存,将G826车次放入小黑屋60秒...

2019/1/14 星期一 16:03:49	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:03:50	开始预订Z230次列车车票...

2019/1/14 星期一 16:03:50	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:03:50	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:03:51	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:03:51	[返回无票]该数据为缓存,将Z230车次放入小黑屋60秒...

2019/1/14 星期一 16:03:52	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:04:55	开始预订Z230次列车车票...

2019/1/14 星期一 16:04:55	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:04:55	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:04:56	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:04:56	[返回无票]该数据为缓存,将Z230车次放入小黑屋120秒...

2019/1/14 星期一 16:04:56	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:05:18	开始预订G826次列车车票...

2019/1/14 星期一 16:05:18	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:05:18	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:05:19	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:05:19	[返回无票]该数据为缓存,将G826车次放入小黑屋120秒...

2019/1/14 星期一 16:05:19	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:05:35	开始预订G1022次列车车票...

2019/1/14 星期一 16:05:35	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:05:35	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:05:36	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:05:36	[返回无票]该数据为缓存,将G1022车次放入小黑屋180秒...

2019/1/14 星期一 16:05:36	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:07:30	开始预订G826次列车车票...

2019/1/14 星期一 16:07:30	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:07:30	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:07:32	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:07:32	[返回无票]该数据为缓存,将G826车次放入小黑屋180秒...

2019/1/14 星期一 16:07:32	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:07:33	开始预订G1028次列车车票...

2019/1/14 星期一 16:07:33	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:07:33	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:07:34	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:07:34	[返回无票]该数据为缓存,将G1028车次放入小黑屋300秒...

2019/1/14 星期一 16:07:34	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:09:11	开始预订Z230次列车车票...

2019/1/14 星期一 16:09:11	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:09:11	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:09:12	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:09:12	[返回无票]该数据为缓存,将Z230车次放入小黑屋180秒...

2019/1/14 星期一 16:09:12	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:10:36	开始预订G826次列车车票...

2019/1/14 星期一 16:10:36	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:10:36	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:10:37	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:10:37	[返回无票]该数据为缓存,将G826车次放入小黑屋240秒...

2019/1/14 星期一 16:10:37	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:17:54	开始预订G1002次列车车票...

2019/1/14 星期一 16:17:54	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:17:54	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:17:55	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:17:55	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/14 星期一 16:17:55	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:18:33	开始预订G1012次列车车票...

2019/1/14 星期一 16:18:33	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:18:33	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:18:35	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:18:35	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/14 星期一 16:18:35	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:19:38	开始预订G1002次列车车票...

2019/1/14 星期一 16:19:38	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:19:38	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:19:39	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:19:39	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/14 星期一 16:19:39	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:22:46	开始预订G1012次列车车票...

2019/1/14 星期一 16:22:46	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:22:46	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:22:48	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:22:48	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/14 星期一 16:22:48	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:24:52	开始预订G1012次列车车票...

2019/1/14 星期一 16:24:52	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:24:52	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:24:54	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:24:54	[返回无票]该数据为缓存,将G1012车次放入小黑屋60秒...

2019/1/14 星期一 16:24:54	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:35:31	开始预订G1022次列车车票...

2019/1/14 星期一 16:35:31	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:35:31	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:35:31	[任务2]实时余票为(1)张,继续提交...

2019/1/14 星期一 16:35:31	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 16:35:31	[任务5]快速出票安全期,等待2938ms

2019/1/14 星期一 16:35:34	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/14 星期一 16:35:34	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/14 星期一 16:35:34	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:37:07	开始预订G1014次列车车票...

2019/1/14 星期一 16:37:07	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:37:07	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:37:08	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:37:08	[返回无票]该数据为缓存,将G1014车次放入小黑屋60秒...

2019/1/14 星期一 16:37:08	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:37:14	开始预订G72次列车车票...

2019/1/14 星期一 16:37:14	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:37:14	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:37:14	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:37:14	[返回无票]该数据为缓存,将G72车次放入小黑屋60秒...

2019/1/14 星期一 16:37:14	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:37:17	开始预订G1022次列车车票...

2019/1/14 星期一 16:37:17	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:37:17	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:37:18	[任务2]实时余票为(1)张,继续提交...

2019/1/14 星期一 16:37:18	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 16:37:18	[任务5]快速出票安全期,等待2589ms

2019/1/14 星期一 16:37:21	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/14 星期一 16:37:21	[返回无票]该数据为缓存,将G1022车次放入小黑屋300秒...

2019/1/14 星期一 16:37:21	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:37:36	开始预订G1018次列车车票...

2019/1/14 星期一 16:37:36	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:37:36	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:37:37	[任务2]实时余票为(2)张,继续提交...

2019/1/14 星期一 16:37:37	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 16:37:37	[任务5]快速出票安全期,等待2865ms

2019/1/14 星期一 16:37:40	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/14 星期一 16:37:40	[返回无票]该数据为缓存,将G1018车次放入小黑屋240秒...

2019/1/14 星期一 16:37:40	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:37:41	开始预订Z230次列车车票...

2019/1/14 星期一 16:37:41	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:37:41	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:37:42	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:37:42	[返回无票]该数据为缓存,将Z230车次放入小黑屋240秒...

2019/1/14 星期一 16:37:42	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:38:12	开始预订G1014次列车车票...

2019/1/14 星期一 16:38:12	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:38:12	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:38:12	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:38:12	[返回无票]该数据为缓存,将G1014车次放入小黑屋300秒...

2019/1/14 星期一 16:38:12	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:38:37	开始预订G1010次列车车票...

2019/1/14 星期一 16:38:37	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:38:37	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:38:37	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:38:37	[返回无票]该数据为缓存,将G1010车次放入小黑屋180秒...

2019/1/14 星期一 16:38:37	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:38:40	开始预订G72次列车车票...

2019/1/14 星期一 16:38:40	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:38:40	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:38:40	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:38:40	[返回无票]该数据为缓存,将G72车次放入小黑屋60秒...

2019/1/14 星期一 16:38:40	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:40:16	开始预订G72次列车车票...

2019/1/14 星期一 16:40:16	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:40:16	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:40:26	[任务1]系统无响应...

2019/1/14 星期一 16:40:26	[普通]线程启动完成,开始解析算法...

2019/1/14 星期一 16:40:26	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:40:26	[任务2]申请订单成功,开始获取令牌...

2019/1/14 星期一 16:40:27	[任务3]令牌获取完成,开始效验订单...

2019/1/14 星期一 16:40:30	[任务4]目前排队人数已经超过余票张数

2019/1/14 星期一 16:40:30	[返回无票]该数据为缓存,将G72车次放入小黑屋60秒...

2019/1/14 星期一 16:40:30	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:41:41	开始预订G72次列车车票...

2019/1/14 星期一 16:41:41	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:41:41	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:41:42	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:41:42	[返回无票]该数据为缓存,将G72车次放入小黑屋120秒...

2019/1/14 星期一 16:41:42	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:42:11	开始预订Z230次列车车票...

2019/1/14 星期一 16:42:11	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:42:11	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:42:11	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:42:11	[返回无票]该数据为缓存,将Z230车次放入小黑屋300秒...

2019/1/14 星期一 16:42:11	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:42:33	开始预订G1022次列车车票...

2019/1/14 星期一 16:42:33	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:42:33	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:42:34	[任务2]实时余票为(1)张,继续提交...

2019/1/14 星期一 16:42:34	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 16:42:34	[任务5]快速出票安全期,等待2671ms

2019/1/14 星期一 16:42:40	[普通]线程启动完成,开始解析算法...

2019/1/14 星期一 16:42:40	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:42:40	[任务2]申请订单成功,开始获取令牌...

2019/1/14 星期一 16:42:41	[任务3]令牌获取完成,开始效验订单...

2019/1/14 星期一 16:42:42	[任务4]实时余票为(1)张,继续提交...

2019/1/14 星期一 16:42:42	[任务5]当前无需验证码,开始提交订单...

2019/1/14 星期一 16:42:42	[任务5]快速出票安全期,等待468ms

2019/1/14 星期一 16:42:43	[任务7]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/14 星期一 16:42:43	[返回无票]该数据为缓存,将G1022车次放入小黑屋360秒...

2019/1/14 星期一 16:42:43	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:42:53	开始预订G1018次列车车票...

2019/1/14 星期一 16:42:53	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:42:53	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:42:53	[任务2]实时余票为(2)张,继续提交...

2019/1/14 星期一 16:42:53	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 16:42:53	[任务5]快速出票安全期,等待2755ms

2019/1/14 星期一 16:42:57	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/14 星期一 16:42:57	[返回无票]该数据为缓存,将G1018车次放入小黑屋300秒...

2019/1/14 星期一 16:42:57	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:43:58	开始预订G1014次列车车票...

2019/1/14 星期一 16:43:58	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:43:58	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:43:58	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:43:58	[返回无票]该数据为缓存,将G1014车次放入小黑屋360秒...

2019/1/14 星期一 16:43:58	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:52:53	开始预订G1002次列车车票...

2019/1/14 星期一 16:52:53	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:52:53	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:52:54	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 16:52:54	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/14 星期一 16:52:54	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:53:52	开始预订G1022次列车车票...

2019/1/14 星期一 16:53:52	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:53:52	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:53:52	[任务2]实时余票为(1)张,继续提交...

2019/1/14 星期一 16:53:52	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 16:53:52	[任务5]快速出票安全期,等待2859ms

2019/1/14 星期一 16:53:56	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/14 星期一 16:53:56	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/14 星期一 16:53:56	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:56:10	开始预订G1022次列车车票...

2019/1/14 星期一 16:56:10	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:56:10	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:56:10	[任务2]实时余票为(1)张,继续提交...

2019/1/14 星期一 16:56:10	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 16:56:10	[任务5]快速出票安全期,等待1917ms

2019/1/14 星期一 16:56:15	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/14 星期一 16:56:15	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/14 星期一 16:56:15	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:57:28	开始预订G1022次列车车票...

2019/1/14 星期一 16:57:28	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:57:28	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:57:29	[任务2]实时余票为(1)张,继续提交...

2019/1/14 星期一 16:57:29	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 16:57:29	[任务5]快速出票安全期,等待2219ms

2019/1/14 星期一 16:57:32	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/14 星期一 16:57:32	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/14 星期一 16:57:32	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 16:59:00	开始预订G1022次列车车票...

2019/1/14 星期一 16:59:00	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 16:59:00	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 16:59:00	[任务2]实时余票为(1)张,继续提交...

2019/1/14 星期一 16:59:00	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 16:59:00	[任务5]快速出票安全期,等待3783ms

2019/1/14 星期一 16:59:04	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/14 星期一 16:59:04	[返回无票]该数据为缓存,将G1022车次放入小黑屋60秒...

2019/1/14 星期一 16:59:04	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 17:00:21	开始预订G1002次列车车票...

2019/1/14 星期一 17:00:21	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 17:00:21	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 17:00:22	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 17:00:22	[返回无票]该数据为缓存,将G1002车次放入小黑屋60秒...

2019/1/14 星期一 17:00:22	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 17:00:41	开始预订G1022次列车车票...

2019/1/14 星期一 17:00:41	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 17:00:41	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 17:00:41	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 17:00:41	[返回无票]该数据为缓存,将G1022车次放入小黑屋660秒...

2019/1/14 星期一 17:00:42	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 17:11:13	开始预订G1014次列车车票...

2019/1/14 星期一 17:11:13	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 17:11:13	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 17:11:17	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 17:11:17	[返回无票]该数据为缓存,将G1014车次放入小黑屋420秒...

2019/1/14 星期一 17:11:17	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 17:11:25	开始预订G1018次列车车票...

2019/1/14 星期一 17:11:25	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 17:11:25	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 17:11:26	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 17:11:26	[返回无票]该数据为缓存,将G1018车次放入小黑屋360秒...

2019/1/14 星期一 17:11:26	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 17:11:40	开始预订G1006次列车车票...

2019/1/14 星期一 17:11:40	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 17:11:40	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 17:11:40	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 17:11:40	[返回无票]该数据为缓存,将G1006车次放入小黑屋60秒...

2019/1/14 星期一 17:11:41	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 17:13:27	开始预订G1022次列车车票...

2019/1/14 星期一 17:13:27	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 17:13:27	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 17:13:28	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 17:13:28	[返回无票]该数据为缓存,将G1022车次放入小黑屋720秒...

2019/1/14 星期一 17:13:28	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 17:16:10	开始预订G1006次列车车票...

2019/1/14 星期一 17:16:10	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 17:16:10	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 17:16:15	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 17:16:15	[返回无票]该数据为缓存,将G1006车次放入小黑屋60秒...

2019/1/14 星期一 17:16:15	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 17:16:45	开始预订G1036次列车车票...

2019/1/14 星期一 17:16:45	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 17:16:45	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 17:16:45	[任务2]实时余票为(1)张,继续提交...

2019/1/14 星期一 17:16:45	[任务4]当前无需验证码,开始提交订单...

2019/1/14 星期一 17:16:45	[任务5]快速出票安全期,等待2710ms

2019/1/14 星期一 17:16:48	[任务5]排队人数现已超过余票数，请您选择其他席别或车次。

2019/1/14 星期一 17:16:48	[返回无票]该数据为缓存,将G1036车次放入小黑屋60秒...

2019/1/14 星期一 17:16:48	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 17:17:45	开始预订G1018次列车车票...

2019/1/14 星期一 17:17:45	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 17:17:45	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 17:17:45	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 17:17:45	[返回无票]该数据为缓存,将G1018车次放入小黑屋420秒...

2019/1/14 星期一 17:17:45	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 17:18:11	开始预订G1006次列车车票...

2019/1/14 星期一 17:18:11	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 17:18:11	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 17:18:13	[任务2]目前排队人数已经超过余票张数

2019/1/14 星期一 17:18:13	[返回无票]该数据为缓存,将G1006车次放入小黑屋60秒...

2019/1/14 星期一 17:18:13	开始查询2019-02-01;2019-02-02;2019-02-03车次，间隔：默认

2019/1/14 星期一 17:18:57	开始预订G1014次列车车票...

2019/1/14 星期一 17:18:57	[极速]线程启动完成,开始解析算法...

2019/1/14 星期一 17:18:57	[任务1]算法解析完成,开始申请订单...

2019/1/14 星期一 17:18:58	[任务2]实时余票为(4)张,继续提交...

2019/1/14 星期一 17:18:58	[任务4]当前无需验证码,开始提交订单...

